Kanji,Wiki_Count,Wiki_Ranking,Meanings,Grade,JLPT,Radical,Stroke_Count,Newspaper_Ranking,Novel_Frequency,In_Joyo
年,1562,1,"['year', 'counter for years']",1,4,51,6,29,0.004487646,Yes
日,1165,2,"['day', 'sun', 'Japan', 'counter for days']",1,4,72,4,5,0.007423776,Yes
月,828,3,"['month', 'moon']",1,4,74,4,47,0.002995397,Yes
者,659,4,"['someone', 'person']",3,3,125,8,31,0.004152463,Yes
記,509,5,"['scribe', 'account', 'narrative']",2,2,149,10,173,0.001219169,Yes
会,503,6,"['meeting', 'meet', 'party', 'association', 'interview', 'join']",2,4,9,6,104,0.001823334,Yes
合,492,7,"['fit', 'suit', 'join', '0.1']",2,3,30,6,50,0.002710292,Yes
用,466,8,"['utilize', 'business', 'service', 'use', 'employ']",2,3,101,5,136,0.001472921,Yes
行,458,9,"['going', 'journey', 'carry out', 'conduct', 'act', 'line', 'row', 'bank']",2,4,144,6,10,0.005952234,Yes
本,454,10,"['book', 'present', 'main', 'origin', 'true', 'real', 'counter for long cylindrical things']",1,4,75,5,27,0.004689766,Yes
大,440,11,"['large', 'big']",1,4,37,3,7,0.006628253,Yes
名,425,12,"['name', 'noted', 'distinguished', 'reputation']",1,4,30,6,88,0.001970636,Yes
事,415,13,"['matter', 'thing', 'fact', 'business', 'reason', 'possibly']",3,3,6,8,16,0.005848736,Yes
一,399,14,"['one', 'one radical (no.1)']",1,4,1,1,2,0.014139812,Yes
出,377,15,"['exit', 'leave', 'go out', 'come out', 'put out', 'protrude']",1,4,17,5,4,0.00872393,Yes
目,373,16,"['eye', 'class', 'look', 'insight', 'experience', 'care', 'favor']",1,4,109,5,53,0.002584008,Yes
議,373,16,"['deliberation', 'consultation', 'debate', 'consideration']",4,2,149,20,337,0.000670522,Yes
理,369,18,"['logic', 'arrangement', 'reason', 'justice', 'truth']",2,3,96,11,85,0.001980679,Yes
場,362,19,"['location', 'place']",2,3,32,12,91,0.001940255,Yes
上,341,20,"['above', 'up']",1,4,1,3,12,0.005882556,Yes
人,341,20,['person'],1,4,9,2,1,0.014652232,Yes
投,341,20,"['throw', 'discard', 'abandon', 'launch into', 'join', 'invest in', 'hurl', 'give up', 'sell at a loss']",3,2,64,7,641,0.000349538,Yes
定,339,23,"['determine', 'fix', 'establish', 'decide']",3,2,40,8,242,0.00094976,Yes
信,328,24,"['faith', 'truth', 'fidelity', 'trust']",4,2,9,9,174,0.001218392,Yes
中,327,25,"['in', 'inside', 'middle', 'mean', 'center']",1,4,2,4,15,0.005863072,Yes
作,326,26,"['make', 'production', 'prepare', 'build']",2,3,9,7,46,0.003254918,Yes
学,322,27,"['study', 'learning', 'science']",1,4,39,8,49,0.002754854,Yes
除,319,28,"['exclude', 'division (x/3)', 'remove', 'abolish', 'cancel', 'except']",6,2,170,10,1068,0.000171098,Yes
話,314,29,"['tale', 'talk']",2,4,149,13,66,0.002238646,Yes
